time,x,y,force
654,23,2,14.12
655,23,3,3.14
656,23,2,14.12
657,23,3,3.14
658,23,2,15.69
659,23,3,3.14
660,23,2,17.25
661,23,3,3.14
662,23,2,18.82
663,23,3,3.14
664,23,2,20.39
665,23,3,3.14
666,23,2,21.96
667,23,3,4.71
668,23,2,23.53
669,23,3,4.71
670,23,2,25.10
671,23,3,4.71
672,23,2,25.10
673,23,3,4.71
674,23,2,25.10
675,23,3,4.71
676,23,2,21.96
677,23,3,4.71
678,23,2,17.25
679,23,3,4.71
680,23,2,12.55
681,23,3,4.71
682,23,5,1.57
683,23,2,7.84
684,23,3,3.14
685,23,5,1.57
686,23,2,4.71
687,23,3,3.14
688,23,5,1.57
689,23,2,1.57
690,23,3,1.57
691,23,4,1.57
692,23,5,1.57
693,23,4,1.57
694,23,5,3.14
695,23,4,1.57
696,23,5,1.57
697,23,4,1.57
698,23,5,1.57
699,23,5,1.57
700,23,78,3.14
701,23,79,3.14
702,23,78,6.27
703,23,79,6.27
704,23,82,1.57
705,23,83,4.71
706,23,78,7.84
707,23,79,7.84
708,23,82,3.14
709,23,83,7.84
710,23,78,9.41
711,23,79,7.84
712,23,80,1.57
713,23,82,3.14
714,23,83,9.41
715,23,84,1.57
716,23,78,9.41
717,23,79,9.41
718,23,80,1.57
719,23,82,3.14
720,23,83,12.55
721,23,84,3.14
722,23,78,10.98
723,23,79,10.98
724,23,80,1.57
725,23,82,3.14
726,23,83,14.12
727,23,84,4.71
728,23,78,10.98
729,23,79,10.98
730,23,80,1.57
731,23,82,3.14
732,23,83,15.69
733,23,84,6.27
734,23,78,10.98
735,23,79,10.98
736,23,80,3.14
737,23,82,3.14
738,23,83,17.25
739,23,84,7.84
740,23,78,10.98
741,23,79,12.55
742,23,80,3.14
743,23,82,4.71
744,23,83,17.25
745,23,84,9.41
746,23,78,10.98
747,23,79,12.55
748,23,80,3.14
749,23,82,4.71
750,23,83,18.82
751,23,84,9.41
752,23,78,12.55
753,23,79,12.55
754,23,80,3.14
755,23,82,4.71
756,23,83,18.82
757,23,84,10.98
758,23,78,12.55
759,23,79,12.55
760,23,80,3.14
761,23,82,4.71
762,23,83,18.82
763,23,84,10.98
764,23,78,12.55
765,23,79,12.55
766,23,80,3.14
767,23,82,4.71
768,23,83,18.82
769,23,84,10.98
770,23,78,14.12
771,23,79,14.12
772,23,80,3.14
773,23,82,4.71
774,23,83,20.39
775,23,84,12.55
776,23,78,14.12
777,23,79,14.12
778,23,80,3.14
779,23,82,4.71
780,23,83,20.39
781,23,84,12.55
782,23,77,1.57
783,23,78,15.69
784,23,79,15.69
785,23,80,3.14
786,23,82,4.71
787,23,83,20.39
788,23,84,12.55
789,23,77,1.57
790,23,78,15.69
791,23,79,17.25
792,23,80,4.71
793,23,82,4.71
794,23,83,20.39
795,23,84,14.12
796,23,77,1.57
797,23,78,17.25
798,23,79,18.82
799,23,80,4.71
800,23,82,4.71
801,23,83,21.96
802,23,84,14.12
803,23,77,1.57
804,23,78,18.82
805,23,79,20.39
806,23,80,4.71
807,23,82,4.71
808,23,83,21.96
809,23,84,15.69
810,23,77,1.57
811,23,78,18.82
812,23,79,20.39
813,23,80,4.71
814,23,82,4.71
815,23,83,23.53
816,23,84,15.69
817,23,77,1.57
818,23,78,20.39
819,23,79,21.96
820,23,80,6.27
821,23,81,1.57
822,23,82,4.71
823,23,83,23.53
